,,throughput,throughput,throughput,throughput,total_transactions,total_transactions,avg_latency,avg_latency,p99_latency,p99_latency
,,mean,std,min,max,mean,std,mean,std,mean,std
baseline,abort_rate,,,,,,,,,,
Pipelined,0.0,185.26,7.46,177.38,192.21,2500.0,0.0,0.27,0.01,0.31,0.01
Pipelined,0.1,150.57,4.38,146.09,154.84,2246.0,22.61,0.3,0.01,0.34,0.0
Pipelined,0.2,139.99,3.46,137.43,143.93,1984.33,14.57,0.28,0.01,0.32,0.01
Pipelined,0.3,119.67,3.74,116.56,123.82,1747.67,44.02,0.29,0.0,0.35,0.0
Pipelined,0.4,101.54,3.24,98.18,104.64,1494.0,26.51,0.29,0.0,0.34,0.01
Pipelined,0.5,84.29,2.44,82.03,86.87,1242.67,40.15,0.29,0.01,0.34,0.0
Traditional,0.0,69.06,1.59,67.57,70.74,2500.0,0.0,0.72,0.02,0.82,0.02
Traditional,0.1,61.64,1.87,59.56,63.18,2228.33,19.3,0.72,0.02,0.8,0.01
Traditional,0.2,55.9,0.41,55.66,56.37,2002.33,30.44,0.71,0.01,0.8,0.02
Traditional,0.3,51.35,1.12,50.32,52.54,1762.33,10.02,0.68,0.01,0.77,0.01
Traditional,0.4,42.77,1.61,41.34,44.52,1480.67,20.43,0.69,0.02,0.78,0.02
Traditional,0.5,36.4,1.52,34.69,37.58,1256.33,19.66,0.68,0.03,0.78,0.02
