,,,throughput,total_transactions,avg_latency
,,,mean,mean,mean
zipf_exponent,baseline,abort_rate,,,
0.1,Pipelined,0.0,1088.61,63233.0,0.0459
0.1,Pipelined,0.1,1312.84,76257.0,0.0307
0.1,Pipelined,0.2,1014.24,58912.0,0.0315
0.1,Pipelined,0.3,754.25,43812.0,0.0324
0.1,Pipelined,0.4,533.36,30980.0,0.0336
0.1,Pipelined,0.5,363.97,21141.0,0.0346
0.1,Traditional,0.0,859.4,49919.0,0.058
0.1,Traditional,0.1,703.38,40856.0,0.0573
0.1,Traditional,0.2,469.13,27245.0,0.0563
0.1,Traditional,0.3,439.58,25533.0,0.0554
0.1,Traditional,0.4,335.79,19505.0,0.0541
0.1,Traditional,0.5,230.41,13384.0,0.0537
0.3,Pipelined,0.0,1096.4,63686.0,0.0455
0.3,Pipelined,0.1,1281.7,74450.0,0.0316
0.3,Pipelined,0.2,966.03,56114.0,0.0331
0.3,Pipelined,0.3,720.18,41832.0,0.034
0.3,Pipelined,0.4,515.77,29959.0,0.0347
0.3,Pipelined,0.5,347.48,20184.0,0.0359
0.3,Traditional,0.0,764.85,44425.0,0.0652
0.3,Traditional,0.1,639.27,37134.0,0.0632
0.3,Traditional,0.2,515.78,29959.0,0.0619
0.3,Traditional,0.3,401.94,23347.0,0.0606
0.3,Traditional,0.4,298.81,17357.0,0.0597
0.3,Traditional,0.5,215.05,12491.0,0.0592
0.6,Pipelined,0.0,1017.18,59085.0,0.0491
0.6,Pipelined,0.1,1098.84,63828.0,0.0369
0.6,Pipelined,0.2,836.94,48616.0,0.038
0.6,Pipelined,0.3,626.58,36396.0,0.0392
0.6,Pipelined,0.4,444.57,25824.0,0.0404
0.6,Pipelined,0.5,306.39,17798.0,0.0408
0.6,Traditional,0.0,545.49,31687.0,0.0913
0.6,Traditional,0.1,459.59,26695.0,0.088
0.6,Traditional,0.2,373.27,21682.0,0.0858
0.6,Traditional,0.3,289.19,16798.0,0.0844
0.6,Traditional,0.4,215.18,12499.0,0.0829
0.6,Traditional,0.5,151.79,8817.0,0.0819
