,,,throughput,throughput,total_transactions,total_transactions,avg_latency,avg_latency
,,,mean,std,mean,std,mean,std
zipf_exponent,baseline,abort_rate,,,,,,
0.1,Pipelined,0.0,1034.06,34.6868,2500.0,0.0,0.0481,0.0016
0.1,Pipelined,0.1,1227.4133,108.2716,2033.6667,29.5014,0.0329,0.0032
0.1,Pipelined,0.2,946.76,99.6546,1611.6667,37.072,0.0339,0.0034
0.1,Pipelined,0.3,688.8067,36.345,1192.3333,10.4083,0.0343,0.0022
0.1,Pipelined,0.4,496.15,42.4268,887.0,22.9129,0.0355,0.0024
0.1,Pipelined,0.5,347.4867,18.7627,631.3333,11.1505,0.036,0.0016
0.1,Traditional,0.0,772.45,37.6579,2500.0,0.0,0.0623,0.0035
0.1,Traditional,0.1,634.07,17.9707,2030.6667,16.9214,0.0617,0.0019
0.1,Traditional,0.2,520.73,16.302,1596.0,25.9422,0.0592,0.003
0.1,Traditional,0.3,411.0567,13.1086,1232.0,16.0935,0.0577,0.0024
0.1,Traditional,0.4,300.2767,14.4893,905.0,33.1813,0.058,0.0025
0.1,Traditional,0.5,209.2633,11.4363,622.6667,5.6862,0.0571,0.0035
0.3,Pipelined,0.0,1033.8533,56.5193,2500.0,0.0,0.0481,0.0027
0.3,Pipelined,0.1,1258.31,69.9409,1991.0,4.5826,0.0313,0.0017
0.3,Pipelined,0.2,946.3933,48.7479,1588.6667,26.4071,0.0332,0.0017
0.3,Pipelined,0.3,663.11,62.951,1204.6667,12.5033,0.0362,0.004
0.3,Pipelined,0.4,511.6867,43.7942,933.0,19.4679,0.0363,0.0041
0.3,Pipelined,0.5,350.8467,37.9319,661.6667,22.1886,0.0375,0.0028
0.3,Traditional,0.0,788.7233,42.6184,2500.0,0.0,0.0613,0.0031
0.3,Traditional,0.1,651.9133,20.7878,2026.3333,15.9478,0.0598,0.0015
0.3,Traditional,0.2,525.2833,17.1571,1601.0,14.4222,0.0585,0.0018
0.3,Traditional,0.3,411.99,26.3207,1231.6667,14.1892,0.058,0.004
0.3,Traditional,0.4,317.3267,21.3446,923.6667,20.2073,0.0562,0.0026
0.3,Traditional,0.5,211.4333,13.3822,622.0,27.4044,0.0569,0.0017
0.6,Pipelined,0.0,1034.76,40.5923,2500.0,0.0,0.0481,0.0019
0.6,Pipelined,0.1,1251.2,75.1504,2041.0,13.0,0.0322,0.0021
0.6,Pipelined,0.2,947.2833,64.9337,1593.6667,35.019,0.0334,0.003
0.6,Pipelined,0.3,701.5967,43.0691,1204.3333,14.9778,0.034,0.0019
0.6,Pipelined,0.4,507.84,66.4237,903.0,35.7911,0.0355,0.0036
0.6,Pipelined,0.5,346.2367,17.6259,643.3333,39.0171,0.0369,0.0037
0.6,Traditional,0.0,790.1533,23.7058,2500.0,0.0,0.061,0.0019
0.6,Traditional,0.1,657.27,42.724,2018.3333,27.5015,0.0593,0.0031
0.6,Traditional,0.2,530.1533,31.7748,1587.0,32.0468,0.0579,0.0026
0.6,Traditional,0.3,411.2867,19.4038,1209.6667,8.0829,0.0568,0.0026
0.6,Traditional,0.4,314.44,8.567,913.3333,3.0551,0.0557,0.0016
0.6,Traditional,0.5,218.74,7.3739,629.3333,20.8167,0.0554,0.0018
